Name,d,epochs,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME,p,lr
Snap Ensemble,1,75,13.6074,2.38855,0.12105,0.83658,2.40669,6,0.0,0.1
Snap Star (shot wrmp),1,75,13.87498,2.43737,0.12123,0.83336,3.05134,6,0.0,0.1
Snap Star (new wrmp),1,75,13.85792,2.47196,0.12365,0.83357,3.00726,6,0.0,0.1
Snap Ensemble,5,30,13.51962,2.48363,0.1294,0.83763,4.40163,6,0.1,0.1
Snap Star (shot wrmp),5,30,11.56381,2.3216,0.11843,0.86112,2.87476,8,0.1,0.1
Snap Star (new wrmp),5,30,12.72305,2.39381,0.12688,0.8472,3.75136,6,0.1,0.1
Snap Ensemble,5,30,14.28352,2.39005,0.11941,0.82846,2.84746,6,0.0,0.1
Snap Star (shot wrmp),5,30,13.42057,2.4225,0.12132,0.83882,2.59396,7,0.0,0.1
Snap Star (new wrmp),5,30,13.13032,2.40024,0.12113,0.84231,2.42406,7,0.0,0.1
Snap Ensemble,4,30,14.52865,2.56891,0.13652,0.82551,5.18039,6,0.1,0.1
Snap Star (shot wrmp),4,30,13.63554,2.45784,0.12547,0.83624,3.76891,7,0.1,0.1
Snap Star (new wrmp),4,30,13.93053,2.54066,0.13472,0.8327,4.88904,6,0.1,0.1
Snap Ensemble,4,30,13.69866,2.44726,0.12285,0.83548,2.76297,5,0.0,0.1
Snap Star (shot wrmp),4,30,14.22751,2.50004,0.12565,0.82913,2.71727,6,0.0,0.1
Snap Star (new wrmp),4,30,13.86968,2.48231,0.12439,0.83343,2.54111,5,0.0,0.1
Snap Ensemble,3,30,13.84582,2.54422,0.13652,0.83371,5.01239,5,0.1,0.1
Snap Star (shot wrmp),3,30,13.00409,2.44906,0.12602,0.84382,3.85576,6,0.1,0.1
Snap Star (new wrmp),3,30,13.66056,2.49863,0.12633,0.83594,4.71992,5,0.1,0.1
Snap Ensemble,3,30,13.31695,2.37981,0.12148,0.84007,3.17881,4,0.0,0.1
Snap Star (shot wrmp),3,30,14.65304,2.41374,0.11795,0.82402,2.96915,5,0.0,0.1
Snap Star (new wrmp),3,30,14.06174,2.42209,0.12231,0.83112,3.00826,4,0.0,0.1
Snap Ensemble,2,30,14.14173,2.54514,0.13536,0.83016,5.84897,4,0.1,0.1
Snap Star (shot wrmp),2,30,12.03238,2.38899,0.12299,0.85549,4.11472,5,0.1,0.1
Snap Star (new wrmp),2,30,13.50505,2.4952,0.12835,0.83781,5.30992,4,0.1,0.1
Snap Ensemble,2,30,15.45332,2.49105,0.12395,0.81441,3.47497,3,0.0,0.1
Snap Star (shot wrmp),2,30,14.62302,2.45624,0.12244,0.82438,3.10606,4,0.0,0.1
Snap Star (new wrmp),2,30,15.21697,2.53287,0.12655,0.81725,3.80951,4,0.0,0.1
Snap Ensemble,1,30,14.57578,2.57313,0.13342,0.82495,5.64822,2,0.1,0.1
Snap Star (shot wrmp),1,30,16.01606,2.68396,0.13064,0.80765,6.5553,3,0.1,0.1
Snap Star (new wrmp),1,30,13.92111,2.49922,0.12903,0.83281,5.88956,3,0.1,0.1
Snap Ensemble,1,30,14.56586,2.49395,0.12443,0.82507,3.31398,2,0.0,0.1
Snap Star (shot wrmp),1,30,14.57721,2.59712,0.13016,0.82493,3.96703,2,0.0,0.1
Snap Star (new wrmp),1,30,14.33671,2.58873,0.13205,0.82782,4.18353,2,0.0,0.1
Snap Ensemble,5,200,15.14743,2.53491,0.13047,0.81808,3.56139,48,0.1,0.1
Snap Star (shot wrmp),5,200,13.63421,2.41894,0.1206,0.83626,1.90173,57,0.1,0.1
Snap Star (new wrmp),5,200,12.94,2.34216,0.11836,0.84459,1.95946,54,0.1,0.1
Snap Ensemble,5,200,12.75653,2.36504,0.11663,0.8468,1.58817,45,0.0,0.1
Snap Star (shot wrmp),5,200,11.87008,2.33083,0.1168,0.85744,1.36865,54,0.0,0.1
Snap Star (new wrmp),5,200,13.3032,2.38436,0.11613,0.84023,1.69126,50,0.0,0.1
Snap Ensemble,4,200,15.27534,2.53969,0.13291,0.81655,3.06301,36,0.1,0.1
Snap Star (shot wrmp),4,200,13.5908,2.35762,0.11916,0.83678,1.82998,43,0.1,0.1
Snap Star (new wrmp),4,200,13.65471,2.4089,0.12056,0.83601,2.2009,41,0.1,0.1
Snap Ensemble,4,200,11.3784,2.26196,0.11194,0.86335,1.3896,35,0.0,0.1
Snap Star (shot wrmp),4,200,10.97436,2.24928,0.11157,0.8682,1.51192,42,0.0,0.1
Snap Star (new wrmp),4,200,11.52472,2.30979,0.11676,0.86159,1.56646,39,0.0,0.1
Snap Ensemble,3,200,14.4638,2.48507,0.1307,0.82629,3.00579,29,0.1,0.1
Snap Star (shot wrmp),3,200,13.10721,2.32972,0.11624,0.84259,1.87416,35,0.1,0.1
Snap Star (new wrmp),3,200,13.50373,2.38731,0.12659,0.83782,2.15864,32,0.1,0.1
Snap Ensemble,3,200,11.42474,2.2608,0.11225,0.86279,1.3966,28,0.0,0.1
Snap Star (shot wrmp),3,200,12.51133,2.35356,0.11192,0.84974,1.40181,33,0.0,0.1
Snap Star (new wrmp),3,200,11.6086,2.30965,0.11444,0.86058,1.35722,31,0.0,0.1
Snap Ensemble,2,200,16.57261,2.71195,0.14369,0.80097,4.94899,22,0.1,0.1
Snap Star (shot wrmp),2,200,14.64013,2.52267,0.12536,0.82418,2.00308,26,0.1,0.1
Snap Star (new wrmp),2,200,14.03906,2.50583,0.12594,0.83139,2.56041,24,0.1,0.1
Snap Ensemble,2,200,12.52974,2.28378,0.1102,0.84952,1.67311,22,0.0,0.1
Snap Star (shot wrmp),2,200,13.24776,2.31136,0.1099,0.8409,1.78289,24,0.0,0.1
Snap Star (new wrmp),2,200,13.36631,2.31099,0.10961,0.83947,1.45731,23,0.0,0.1
Snap Ensemble,1,200,14.29689,2.49801,0.1275,0.8283,3.55088,14,0.1,0.1
Snap Star (shot wrmp),1,200,13.86126,2.41572,0.12335,0.83353,2.76597,16,0.1,0.1
Snap Star (new wrmp),1,200,14.26685,2.53129,0.13243,0.82866,3.11844,15,0.1,0.1
Snap Ensemble,1,200,14.58316,2.42993,0.11723,0.82486,1.86811,14,0.0,0.1
